,AK,AZ,CA,CO,HI,MT,NM,NV,OR,UT,WA,WY,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI,AL,AR,FL,GA,KY,LA,MS,NC,SC,TN,TX,VA,CT,DC,DE,MA,MD,ME,NH,NJ,NY,PA,RI,VT
2020-01-21,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2020-02-02,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,,1,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,5,,,,,,1,,7,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,2,
2020-03-02,,,5,,,,,,1,,5,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,
2020-03-03,,1,12,,,,,,,,10,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,1,,1,,,
2020-03-04,,,4,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,9,,,
2020-03-05,,,8,2,,,,1,,,31,,,1,,,,,,,,,,,,,,,,,,,,,1,4,,,,,1,3,,,1,11,,,
2020-03-06,,1,11,6,1,,,1,,1,10,,,1,1,,,1,,,1,,1,,,,,3,1,1,,,1,,,3,,,,,5,,,,2,22,2,1,
2020-03-07,,2,8,,,,,,4,,22,,,,,1,,,1,,,,,,,,,2,4,,,,,2,,,1,,1,,5,,,,,45,2,,
2020-03-08,,,26,,1,,,2,7,,34,,3,1,1,,,1,,,2,,,,,,,4,4,3,,,,4,2,4,1,1,1,,15,2,,2,2,17,2,,1
2020-03-09,,,19,4,,,,,,,26,,5,4,2,,,,,,,3,,,1,,,2,6,2,1,,5,1,1,1,3,1,3,,13,,,,5,36,4,,
2020-03-10,,1,24,5,,,,1,1,1,105,,5,8,2,,2,1,,,2,1,1,5,1,,,9,5,2,2,,,2,3,4,4,,,,30,1,,1,4,31,2,2,
2020-03-11,,3,20,17,,1,4,,4,2,99,1,1,6,4,,,2,,1,,,,3,3,,1,3,9,,10,1,1,1,2,4,,1,5,1,3,3,,,8,43,4,,
2020-03-12,1,,21,15,,,2,,5,1,91,,2,7,2,4,10,4,1,,5,1,1,,2,,5,18,11,3,6,,7,2,9,2,8,3,,3,13,3,1,1,6,112,6,,1
2020-03-13,,,,23,,,4,6,6,1,,,,,,1,,5,,,3,8,,1,2,1,3,7,,,14,3,,,8,16,13,,,,,5,2,,21,93,11,9,
