Date,Hubei,Hunan,Henan,Guangdong,Guangxi,Hainan,Shanghai,Zhejiang,Jiangsu,Shandong,Anhui,Jiangxi,Fujian,Beijing,Tianjin,Hebei,Shanxi,"Inner
Mongolia",Heilongjiang,Jilin,Liaoning,Chongqing,Sichuan,Yunnan,Guizhou,Tibet,Shaanxi,Gansu,Ningxia,Xinjiang,Qinghai
1-11-2020,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-12-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-13-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-14-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-15-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-16-2020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-17-2020,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-18-2020,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-19-2020,77,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-20-2020,72,,,13,,,2,,,,,,,5,,,,,,,,,,,,,,,,,
1-21-2020,105,1,1,12,,,7,5,,1,,2,,5,2,,,,,,,5,2,1,,,,,,,
1-22-2020,69,8,4,6,2,4,7,5,1,5,1,1,1,4,2,1,1,,,1,2,4,3,,3,,3,,1,,
1-23-2020,105,15,4,21,11,4,4,33,8,3,14,4,4,12,1,1,,1,4,2,2,18,10,1,,,2,2,1,2,
1-24-2020,180,19,23,25,10,2,13,19,9,12,24,11,5,10,3,6,5,1,5,1,8,30,13,3,1,,10,2,1,1,
1-25-2020,323,26,51,20,10,12,7,42,13,18,21,18,19,15,2,5,3,5,6,,5,18,16,6,1,,7,3,1,1,1
1-26-2020,371,31,45,48,13,9,13,24,16,24,10,12,27,17,4,5,4,4,6,2,5,35,25,8,2,,13,7,3,1,3
1-27-2020,1291,43,40,42,5,7,13,45,23,24,36,24,17,12,9,15,7,2,9,2,5,22,21,7,2,,11,5,4,5,2
1-28-2020,840,78,38,53,7,5,14,123,29,34,46,37,9,11,1,15,7,2,7,1,9,15,18,25,,,10,5,1,3,
1-29-2020,1032,56,72,70,20,3,21,132,30,24,48,53,19,20,3,17,8,3,6,5,3,18,34,19,3,1,7,2,5,1,
1-30-2020,1220,55,74,82,9,3,27,109,39,33,37,78,19,21,5,17,4,2,16,,4,41,36,10,3,,24,3,4,3,2
1-31-2020,1347,67,70,127,13,8,41,62,34,28,60,46,24,24,5,14,8,3,21,3,20,41,30,11,14,,14,6,5,1,1
2-1-2020,1921,64,71,84,11,6,8,62,34,19,43,47,15,27,8,8,9,4,15,6,1,15,23,8,9,,15,5,2,2,2
2-2-2020,2103,58,73,79,16,8,26,63,35,34,68,58,20,29,11,9,10,7,26,8,9,50,23,15,8,,12,11,3,4,2
2-3-2020,2345,72,109,114,12,7,5,105,37,11,72,85,15,16,4,13,8,1,34,11,1,25,28,3,10,,14,4,3,5,2
2-4-2020,3156,68,89,73,11,11,25,66,33,28,50,72,11,25,9,9,7,7,35,12,7,29,19,5,8,,23,2,,3,2
2-5-2020,2987,50,87,74,18,11,21,59,32,45,61,52,10,21,2,22,9,4,37,5,8,23,20,6,5,,8,5,6,4,1
2-6-2020,2447,61,63,74,4,11,15,52,35,36,74,61,9,23,10,14,6,4,36,6,5,22,23,7,6,,11,5,3,3,
2-7-2020,2841,31,66,57,11,11,12,42,31,28,68,37,15,18,2,24,7,2,18,4,5,15,19,3,12,,11,4,1,3,
2-8-2020,2060,35,53,45,12,6,11,15,29,28,46,41,11,11,2,11,12,2,26,9,6,20,23,2,9,,13,8,1,3,
2-9-2020,2618,41,40,31,15,8,3,29,24,24,51,33,11,11,3,12,4,4,24,2,2,22,19,1,13,,5,4,4,4,
2-10-2020,2097,33,32,26,5,6,7,25,23,27,30,32,6,5,7,21,3,,29,1,1,18,12,8,18,,6,3,4,6,
2-11-2020,1638,34,30,42,7,3,4,14,28,11,29,40,5,10,11,12,2,2,18,2,8,19,19,5,13,,6,,5,4,
2-12-2020,13797,22,34,22,,12,7,14,27,9,21,28,7,14,6,14,2,1,17,1,2,13,15,1,4,,4,1,6,4,
2-13-2020,4823,20,15,20,4,,5,10,23,13,24,28,2,6,7,18,,4,23,2,1,11,12,7,5,,1,3,3,2,
2-14-2020,2420,13,28,33,9,5,8,7,11,11,16,12,4,3,1,8,1,3,7,2,2,8,7,6,3,,2,,3,5,
2-15-2020,1843,3,19,22,2,,2,5,13,7,12,12,2,5,2,9,1,2,20,1,1,7,11,1,1,,4,,,1,
2-16-2020,1933,2,15,6,1,,3,4,9,4,11,5,3,1,2,1,1,2,12,,1,7,14,,2,,4,,,4,
2-17-2020,1807,1,11,6,4,1,2,1,3,2,9,3,2,6,1,1,1,1,7,,,2,13,1,,,,1,,1,
2-18-2020,1693,1,5,3,2,,,1,2,1,4,1,1,6,3,4,1,2,6,1,,2,6,1,,,2,,1,,
2-19-2020,775,2,4,1,1,5,,2,,2,1,1,,2,2,1,,,6,1,,5,6,,,,3,,,,
2-20-2020,631,1,2,1,1,,1,28,,202,1,,,1,1,1,,,3,,,7,5,2,,,,,,,
2-21-2020,366,2,3,6,3,,,2,,2,1,,,3,2,1,,,,,,5,1,,,,,,,,
2-22-2020,630,3,1,3,,,1,,,4,,,,,2,2,,,1,,,1,,,,,,,,,
2-23-2020,398,,,3,2,,,,,1,,,,,,,,,,2,,2,1,,,,,,,,
2-24-2020,499,,,2,1,,,,,,,,1,1,,,1,,,,,1,2,,,,,,,,
2-25-2020,401,,,,,,1,,,1,,,,,,1,,,,,,,2,,,,,,,,
